GENE	G_arboreum%G_a_rep1	G_arboreum%G_a_rep2	G_arboreum_x_raimondii%G_HH_rep1	G_arboreum_x_raimondii%G_HH_rep2	G_raimondii%G_r_rep1	G_raimondii%G_r_rep2
lcl|NC_030664.1_cds_XP_017639025.1_326	83	66	55	46	37	27
lcl|NC_030664.1_cds_XP_017604069.1_327	9902	7172	3586	2594	12429	8109
lcl|NC_030664.1_cds_XP_017623340.1_328	158	84	111	102	317	166
lcl|NC_030664.1_cds_XP_017622444.1_329	68	41	103	99	223	173
lcl|NC_030664.1_cds_XP_017627423.1_330	456	333	482	439	371	185
lcl|NC_030664.1_cds_XP_017624054.1_331	56	33	47	44	35	49
lcl|NC_030664.1_cds_XP_017645287.1_334	18	5	7	4	0	0
lcl|NC_030664.1_cds_XP_017645389.1_335	7	5	4	2	0	0
lcl|NC_030664.1_cds_XP_017613800.1_337	53	23	55	81	112	75
lcl|NC_030664.1_cds_XP_017613805.1_338	22	14	44	48	69	55
lcl|NC_030664.1_cds_XP_017645674.1_339	0	0	0	0	1	1
lcl|NC_030664.1_cds_XP_017629900.1_340	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017627437.1_341	32	27	71	89	75	55
lcl|NC_030664.1_cds_XP_017623904.1_342	260	93	159	353	91	90
lcl|NC_030664.1_cds_XP_017611223.1_343	29	12	23	20	48	34
lcl|NC_030664.1_cds_XP_017629909.1_344	0	1	0	0	0	0
lcl|NC_030664.1_cds_XP_017645960.1_345	284	243	39	29	74	39
lcl|NC_030664.1_cds_XP_017647677.1_346	2	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629920.1_348	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647028.1_349	3	0	1	1	0	0
lcl|NC_030664.1_cds_XP_017622862.1_351	44	17	4	6	4	2
lcl|NC_030664.1_cds_XP_017629940.1_352	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644032.1_353	1	2	9	5	30	10
lcl|NC_030664.1_cds_XP_017642507.1_354	6	4	11	8	0	0
lcl|NC_030664.1_cds_XP_017645170.1_355	0	0	1	1	1	2
lcl|NC_030664.1_cds_XP_017640805.1_357	590	482	208	257	64	26
lcl|NC_030664.1_cds_XP_017624874.1_358	110	95	89	62	77	61
lcl|NC_030664.1_cds_XP_017606310.1_360	107	51	109	62	98	62
lcl|NC_030664.1_cds_XP_017606288.1_361	46	27	42	28	72	35
lcl|NC_030664.1_cds_XP_017640821.1_363	58	36	50	56	113	70
lcl|NC_030664.1_cds_XP_017643825.1_364	16	14	12	24	30	25
lcl|NC_030664.1_cds_XP_017643833.1_365	6	4	8	4	12	6
lcl|NC_030664.1_cds_XP_017605561.1_366	253	176	241	181	246	215
lcl|NC_030664.1_cds_XP_017630094.1_374	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614011.1_375	13	14	20	13	15	7
lcl|NC_030664.1_cds_XP_017614005.1_376	10	14	13	15	16	18
lcl|NC_030664.1_cds_XP_017613998.1_377	19	13	17	12	18	19
lcl|NC_030664.1_cds_XP_017630112.1_378	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017640980.1_379	182	105	280	284	334	194
lcl|NC_030664.1_cds_XP_017630121.1_380	30	5	12	3	3	1
lcl|NC_030664.1_cds_XP_017648095.1_381	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017641393.1_383	88	57	42	24	169	128
lcl|NC_030664.1_cds_XP_017630130.1_384	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630151.1_385	2	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017643105.1_388	2	3	1	1	1	4
lcl|NC_030664.1_cds_XP_017644825.1_392	0	0	2	0	0	0
lcl|NC_030664.1_cds_XP_017644484.1_393	11	12	16	13	11	6
lcl|NC_030664.1_cds_XP_017614987.1_394	30	29	8	9	12	10
lcl|NC_030664.1_cds_XP_017607793.1_395	88	33	101	107	140	65
lcl|NC_030664.1_cds_XP_017607727.1_396	0	2	1	0	6	10
lcl|NC_030664.1_cds_XP_017645407.1_397	0	0	5	3	2	0
lcl|NC_030664.1_cds_XP_017630160.1_399	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017626366.1_400	68	32	46	31	35	10
lcl|NC_030664.1_cds_XP_017643688.1_401	24	20	0	7	0	0
lcl|NC_030664.1_cds_XP_017644259.1_402	21	8	35	18	38	11
lcl|NC_030664.1_cds_XP_017645001.1_403	0	0	8	4	2	0
lcl|NC_030664.1_cds_XP_017630175.1_404	7	7	8	9	2	1
lcl|NC_030664.1_cds_XP_017630180.1_405	0	0	3	2	0	2
lcl|NC_030664.1_cds_XP_017621552.1_406	80	71	112	41	81	66
lcl|NC_030664.1_cds_XP_017630188.1_409	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017634832.1_410	168	88	172	180	367	232
lcl|NC_030664.1_cds_XP_017647597.1_411	3	1	0	2	0	0
lcl|NC_030664.1_cds_XP_017639898.1_412	493	334	516	477	467	279
lcl|NC_030664.1_cds_XP_017643982.1_416	0	1	0	0	1	0
lcl|NC_030664.1_cds_XP_017606594.1_417	149	98	114	53	111	101
lcl|NC_030664.1_cds_XP_017606606.1_418	8	7	6	6	5	6
lcl|NC_030664.1_cds_XP_017639718.1_419	564	389	335	248	608	377
lcl|NC_030664.1_cds_XP_017640598.1_420	0	4	11	21	105	42
lcl|NC_030664.1_cds_XP_017637106.1_421	198	96	172	132	267	187
lcl|NC_030664.1_cds_XP_017612321.1_422	7	0	3	0	0	0
lcl|NC_030664.1_cds_XP_017612296.1_425	5	3	0	1	5	2
lcl|NC_030664.1_cds_XP_017630207.1_429	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639681.1_430	87	58	108	109	75	41
lcl|NC_030664.1_cds_XP_017630223.1_431	25	15	39	42	12	11
lcl|NC_030664.1_cds_XP_017630231.1_432	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017613591.1_433	88	42	87	53	76	72
lcl|NC_030664.1_cds_XP_017613601.1_434	5	1	4	5	12	3
lcl|NC_030664.1_cds_XP_017624279.1_435	107	46	68	27	141	113
lcl|NC_030664.1_cds_XP_017613794.1_437	270	169	294	174	466	328
lcl|NC_030664.1_cds_XP_017628805.1_438	19	11	36	27	20	21
lcl|NC_030664.1_cds_XP_017611520.1_439	62	51	74	38	111	59
lcl|NC_030664.1_cds_XP_017624378.1_441	55	28	48	29	58	48
lcl|NC_030664.1_cds_XP_017630241.1_442	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614271.1_443	159	102	172	112	118	80
lcl|NC_030664.1_cds_XP_017628532.1_445	6	3	7	4	9	4
lcl|NC_030664.1_cds_XP_017606699.1_446	59	43	49	57	47	41
lcl|NC_030664.1_cds_XP_017606711.1_447	215	137	139	143	321	241
lcl|NC_030664.1_cds_XP_017611034.1_448	209	116	112	114	316	154
lcl|NC_030664.1_cds_XP_017622574.1_449	368	167	488	326	350	203
lcl|NC_030664.1_cds_XP_017608031.1_450	55	29	47	55	73	48
lcl|NC_030664.1_cds_XP_017641132.1_454	91	50	70	52	141	80
lcl|NC_030664.1_cds_XP_017614499.1_455	147	73	54	38	31	29
lcl|NC_030664.1_cds_XP_017630251.1_456	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630260.1_457	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630276.1_458	0	2	1	0	1	0
lcl|NC_030664.1_cds_XP_017637218.1_459	64	37	48	47	88	50
lcl|NC_030664.1_cds_XP_017630290.1_461	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630340.1_467	3690	5068	2506	739	5457	3903
lcl|NC_030664.1_cds_XP_017630462.1_471	6	0	1	2	1	0
lcl|NC_030664.1_cds_XP_017613936.1_473	27	9	53	34	38	23
lcl|NC_030664.1_cds_XP_017646424.1_474	13	5	20	10	13	11
lcl|NC_030664.1_cds_XP_017647888.1_475	1	0	0	0	0	0
