GENE	G_arboreum	G_arboreum+N	G_raimondii	G_raimondii+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
lcl|NC_030664.1_cds_XP_017647700.1_209	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017622593.1_210	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017622600.1_211	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639792.1_212	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639823.1_213	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017648932.1_214	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017648906.1_215	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017648913.1_216	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017648944.1_217	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017648885.1_218	0	0	0	0	0	0	6	0
lcl|NC_030664.1_cds_XP_017611982.1_220	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017611970.1_222	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017627049.1_223	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017608870.1_224	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017626150.1_225	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644867.1_226	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629734.1_227	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017642922.1_228	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017640369.1_229	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017627828.1_230	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606262.1_231	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606148.1_232	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017643713.1_233	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017648510.1_234	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017620092.1_235	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017627060.1_236	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647914.1_237	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017617222.1_238	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629280.1_239	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017605455.1_241	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017605462.1_242	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017605473.1_243	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017646094.1_244	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017627757.1_245	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644688.1_246	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644668.1_247	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614720.1_249	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017623119.1_250	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017624759.1_251	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017628744.1_252	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647930.1_253	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017640354.1_254	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017610459.1_255	0	0	0	0	0	0	2	0
lcl|NC_030664.1_cds_XP_017625462.1_256	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017644476.1_257	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017626220.1_258	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017625804.1_260	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614560.1_262	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614566.1_263	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017645418.1_265	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644586.1_266	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017610402.1_267	0	0	0	0	0	0	3	0
lcl|NC_030664.1_cds_XP_017606368.1_268	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606384.1_270	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606454.1_271	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017607725.1_272	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647290.1_273	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639920.1_274	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017645907.1_275	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017623259.1_276	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017607726.1_277	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017628578.1_278	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614852.1_280	0	0	0	0	0	0	2	0
lcl|NC_030664.1_cds_XP_017614842.1_281	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017642620.1_282	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017642472.1_283	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017642292.1_284	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017603779.1_293	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017610582.1_295	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017635569.1_297	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017603682.1_298	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017614634.1_299	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629784.1_301	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629802.1_302	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017615063.1_303	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017610276.1_305	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017608419.1_306	0	0	0	0	0	0	2	0
lcl|NC_030664.1_cds_XP_017628611.1_307	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017623353.1_308	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629821.1_309	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017625562.1_310	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017629832.1_312	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639573.1_313	0	0	0	0	0	0	2	0
lcl|NC_030664.1_cds_XP_017629850.1_314	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647757.1_315	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017624788.1_316	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017626534.1_318	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017640967.1_319	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017607479.1_320	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017607496.1_322	0	0	0	0	0	0	2	0
lcl|NC_030664.1_cds_XP_017609126.1_323	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629888.1_325	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639025.1_326	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017604069.1_327	0	0	0	0	0	0	9	0
lcl|NC_030664.1_cds_XP_017623340.1_328	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017622444.1_329	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017627423.1_330	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017624054.1_331	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017645287.1_334	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017645389.1_335	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017613800.1_337	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017613805.1_338	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017645674.1_339	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629900.1_340	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017627437.1_341	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017623904.1_342	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017611223.1_343	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629909.1_344	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017645960.1_345	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647677.1_346	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629920.1_348	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647028.1_349	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017622862.1_351	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629940.1_352	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644032.1_353	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017642507.1_354	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017645170.1_355	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017640805.1_357	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017624874.1_358	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606310.1_360	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606288.1_361	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017640821.1_363	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017643825.1_364	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017643833.1_365	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017605561.1_366	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630094.1_374	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614011.1_375	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614005.1_376	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017613998.1_377	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630112.1_378	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017640980.1_379	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630121.1_380	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017648095.1_381	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017641393.1_383	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630130.1_384	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630151.1_385	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017643105.1_388	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644825.1_392	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644484.1_393	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614987.1_394	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017607793.1_395	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017607727.1_396	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017645407.1_397	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630160.1_399	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017626366.1_400	0	0	0	0	0	0	2	0
lcl|NC_030664.1_cds_XP_017643688.1_401	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644259.1_402	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017645001.1_403	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630175.1_404	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630180.1_405	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017621552.1_406	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630188.1_409	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017634832.1_410	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017647597.1_411	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639898.1_412	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017643982.1_416	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606594.1_417	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606606.1_418	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639718.1_419	0	0	0	0	0	0	3	0
lcl|NC_030664.1_cds_XP_017640598.1_420	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017637106.1_421	0	0	0	0	0	0	2	0
lcl|NC_030664.1_cds_XP_017612321.1_422	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017612296.1_425	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630207.1_429	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639681.1_430	0	0	0	0	0	0	0	0
